Problem:    
Rows:       230
Columns:    660 (660 integer, 0 binary)
Non-zeros:  1400
Status:     INTEGER OPTIMAL
Objective:  obj = 4676 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
    79 f_0_14_19    *              0             0           500 
    80 f_0_14_25    *              0             0           500 
    81 f_0_14_37    *              0             0           500 
    82 f_0_18_15    *              0             0           500 
    83 f_0_24_15    *              0             0           500 
    84 f_0_30_15    *              0             0           500 
    85 f_0_34_15    *              0             0           500 
    86 f_0_40_15    *             10             0           500 
    87 f_0_15_16    *             10             0            50 
    88 f_0_16_17    *              0             0           500 
    89 f_0_16_23    *              0             0           500 
    90 f_0_16_29    *              0             0           500 
    91 f_0_16_33    *              0             0           500 
    92 f_0_16_39    *              0             0           500 
    93 f_0_24_17    *              0             0           500 
    94 f_0_26_17    *              0             0           500 
    95 f_0_30_17    *              0             0           500 
    96 f_0_32_17    *              0             0           500 
    97 f_0_34_17    *              0             0           500 
    98 f_0_36_17    *              0             0           500 
    99 f_0_40_17    *             20             0           500 
   100 f_0_17_18    *             20             0            50 
   101 f_0_18_23    *              0             0           500 
   102 f_0_18_25    *              0             0           500 
   103 f_0_18_29    *              0             0           500 
   104 f_0_18_31    *              0             0           500 
   105 f_0_18_33    *              0             0           500 
   106 f_0_18_35    *              0             0           500 
   107 f_0_18_39    *              0             0           500 
   108 f_0_19_20    *              0             0            50 
   109 f_0_40_21    *              0             0           500 
   110 f_0_21_22    *              0             0            50 
   111 f_0_22_39    *              0             0           500 
   112 f_0_30_23    *              0             0           500 
   113 f_0_34_23    *              0             0           500 
   114 f_0_36_23    *              0             0           500 
   115 f_0_40_23    *             20             0           500 
   116 f_0_23_24    *             20             0            50 
   117 f_0_24_29    *              0             0           500 
   118 f_0_24_33    *              0             0           500 
   119 f_0_24_35    *              0             0           500 
   120 f_0_24_39    *              0             0           500 
   121 f_0_28_25    *              0             0           500 
   122 f_0_30_25    *              0             0           500 
   123 f_0_34_25    *              0             0           500 
   124 f_0_36_25    *              0             0           500 
   125 f_0_38_25    *              0             0           500 
   126 f_0_25_26    *              0             0            50 
   127 f_0_26_27    *              0             0           500 
   128 f_0_26_29    *              0             0           500 
   129 f_0_26_33    *              0             0           500 
